gene	kcore
ASH1L	15
ASH2L	60
ASIC1	5
ASIC2	5
ASIC3	3
ASIC4	5
ASIC5	2
ASIP	9
ASL	11
ASMTL	9
ASNA1	24
ASNS	13
ASPA	2
ASPG	11
ASPH	29
ASPM	5
ASPN	1
ASPSCR1	18
ASRGL1	6
ASS1	12
ASTE1	1
ASTL	2
ASXL1	27
ASXL2	13
ASXL3	3
ASZ1	15
ATAD1	2
ATAD2	39
ATAD2B	6
ATAD3A	1
ATAD5	4
ATAT1	1
ATCAY	4
ATE1	2
ATF1	53
ATF2	66
ATF3	53
ATF4	61
ATF5	30
ATF6	24
ATF6B	50
ATF7	30
ATF7IP	43
ATF7IP2	6
ATG10	8
ATG101	35
ATG12	31
ATG13	36
ATG14	30
ATG16L1	19
ATG16L2	14
ATG2A	10
ATG2B	4
ATG3	14
ATG4A	8
ATG4B	9
ATG4C	5
ATG4D	7
ATG5	36
ATG7	14
ATG9A	40
ATG9B	10
ATIC	9
ATL1	3
ATL2	1
ATM	61
ATMIN	3
ATN1	45
ATOH1	8
ATOH7	1
ATOH8	8
ATOX1	6
ATP10A	1
ATP10B	1
ATP10D	1
ATP11A	1
ATP11B	3
ATP11C	1
ATP12A	5
ATP13A1	21
ATP13A2	6
ATP13A3	1
ATP1A1	30
ATP1A2	25
ATP1A3	24
ATP1A4	24
ATP1B1	30
ATP1B2	24
ATP1B3	28
ATP1B4	25
ATP23	29
ATP2A1	17
ATP2A2	25
ATP2A3	22
ATP2B1	14
ATP2B2	12
ATP2B3	8
ATP2B4	25
ATP2C1	1
ATP2C2	3
ATP4A	5
ATP4B	7
ATP5A1	7
ATP5B	26
ATP5C1	14
ATP5F1A	28
ATP5F1B	43
ATP5F1C	32
ATP5F1D	19
ATP5F1E	17
ATP5G3	1
ATP5H	7
ATP5IF1	8
ATP5J	2
ATP5J2	10
ATP5L	1
ATP5MC1	17
ATP5MC2	17
ATP5MC3	17
ATP5MD	1
ATP5ME	17
ATP5MF	19
ATP5MG	17
ATP5MGL	6
ATP5MPL	3
ATP5PB	19
ATP5PD	17
ATP5PF	22
ATP5PO	25
ATP6AP1	30
ATP6AP2	17
ATP6V0A1	38
ATP6V0A2	38
ATP6V0A4	38
ATP6V0B	48
ATP6V0C	48
ATP6V0D1	48
ATP6V0D2	48
ATP6V0E1	48
ATP6V0E2	48
ATP6V1A	48
ATP6V1B1	48
ATP6V1B2	48
ATP6V1C1	48
ATP6V1C2	48
ATP6V1D	48
ATP6V1E1	48
ATP6V1E2	48
ATP6V1F	48
ATP6V1G1	48
ATP6V1G2	48
ATP6V1G2-DDX39B	2
ATP6V1G3	48
ATP6V1H	48
ATP7A	5
ATP7B	3
ATP8	4
ATP8A1	3
ATP8A2	1
ATP8B1	8
ATP8B2	2
ATP8B4	2
ATP9A	1
ATPAF1	2
ATPAF2	36
ATPGD1	1
ATPIF1	2
ATPSCKMT	1
ATR	54
ATRAID	4
ATRIP	47
ATRN	3
ATRNL1	2
ATRX	45
ATXN1	55
ATXN10	3
ATXN1L	40
ATXN2	23
ATXN2L	12
ATXN3	34
ATXN3L	12
ATXN7	37
ATXN7L1	8
ATXN7L2	22
ATXN7L3	21
AUNIP	7
AUP1	9
AURKA	85
AURKAIP1	86
AURKB	96
AURKC	14
AUTS2	16
AVEN	9
AVIL	4
AVP	61
AVPI1	29
AVPR1A	24
AVPR1B	27
AVPR2	58
AWAT2	1
AXIN1	70
AXIN2	67
AXL	35
AZGP1	16
AZI2	10
AZIN1	7
AZIN2	3
AZU1	17
B-3501	2
B0FTY2	2
B0I1T6	3
B0QY85	1
B0QZE7	34
B0S7P4	1
B0UZY3	1
B0V265	14
B1AHD6	1
B1AHK1	6
B1AJQ0	1
B1AJZ0	2
B1AKJ2	3
B1AL64	1
B1ALB5	1
B1ALL0	1
B1ALV1	1
B1AM49	4
B1AMV0	4
B1AN94	1
B1ANA3	1
B1ANN6	1
B1AQP4	1
B1AVT1	1
B1B0M1	1
B2M	55
B2R4U6	1
B2R550	3
B2R5P6	1
B2R6J3	1
B2R7W0	1
B2R8Y4	12
B2R9H7	3
B2R9Y1	3
B2RAT6	1
B2RC52	3
B2RCU6	1
B2RCW4	2
B2RDC9	1
B2RDE6	1
B2RDX5	2
B3GALNT1	2
B3GALNT2	2
B3GALT2	1
B3GALT4	4
B3GALT5	3
B3GALT6	18
B3GAT1	18
B3GAT2	18
B3GAT3	19
B3GLCT	5
B3GNT2	20
B3GNT3	20
B3GNT4	20
B3GNT5	19
B3GNT6	18
B3GNT7	20
B3GNT8	18
B3GNT9	1
B3GNTL1	1
B3KM38	5
B3KM70	3
B3KNU0	5
B3KNW7	5
B3KPJ1	1
B3KPL7	1
B3KPU6	2
B3KQF8	3
B3KQG4	3
B3KQM1	5
B3KSG3	11
B3KSN7	1
B3KTA1	1
B3KTT5	8
B3KUD8	2
B3KV54	6
B3KWQ7	1
B3KX42	1
B3KX51	2
B3KXA2	6
B3KXR2	2
B4DDV3	5
B4DE62	7
B4DE84	9
B4DET5	3
B4DF43	3
B4DF73	1
B4DG32	2
B4DG68	1
B4DG85	7
B4DH63	1
B4DHJ7	2
B4DHR3	1
B4DI28	1
B4DIR9	1
B4DJP2	1
B4DK40	1
B4DL80	3
B4DMB7	1
B4DNA4	3
B4DP29	1
B4DQQ1	4
B4DR76	2
B4DR88	1
B4DRI6	2
B4DRS2	5
B4DT73	4
B4DUR3	2
B4DUS4	1
B4DUS5	1
B4DV53	2
B4DVI5	2
B4DW13	1
B4DXH2	7
B4DXY4	13
B4DY66	1
B4DYC6	31
B4DZP6	3
B4DZT3	1
B4E0X6	14
B4E1C1	9
B4E2K3	8
B4E2X3	1
B4E318	6
B4GALNT2	4
B4GALT1	12
B4GALT2	9
B4GALT3	9
B4GALT4	7
B4GALT5	20
B4GALT6	8
B4GALT7	19
B4GAT1	7
B7Z240	3
B7Z2A4	1
B7Z2P9	24
B7Z2Y6	1
B7Z3D6	6
B7Z3H9	4
B7Z3K3	2
B7Z481	2
B7Z563	5
B7Z5W0	1
B7Z670	3
B7Z6C2	4
B7Z6F4	1
B7Z6F6	3
B7Z6S9	1
B7Z7E0	1
B7Z7S1	1
B7Z8H0	12
B7Z8L6	32
B7Z9S8	1
B7ZAZ3	1
B9838V1	1
B9D1	93
B9D2	96
BAALC	5
BAAT	11
BABAM1	37
BABAM2	38
BACE1	23
BACE2	12
BACH1	24
BACH2	34
BAD	52
BAF53A	2
BAG1	40
BAG2	34
BAG3	48
BAG4	45
BAG5	24
BAG6	49
BAHCC1	2
BAHD1	39
BAI1	5
BAI2	7
BAIAP2	38
BAIAP2L1	7
BAIAP2L2	7
BAIAP3	4
BAK	14
BAK1	45
BAMBI	34
BANF1	41
BANF2	16
BANK1	3
BANP	49
BAP1	29
BAP18	1
BARD1	54
BARGIN	3
BARHL1	7
BARHL2	4
BARX1	8
BARX2	13
BASH	6
BASP1	3
BAT1	13
BAT2	19
BAT2L1	4
BAT3	28
BAT4	1
BAT5	11
BATF	53
BATF2	22
BATF3	34
BAX	59
BAZ1A	9
BAZ1B	50
BAZ2A	25
BAZ2B	18
BBC3	19
BBIP1	18
BBOX1	2
BBS1	23
BBS10	21
BBS12	16
BBS2	23
BBS4	24
BBS5	21
BBS7	21
BBS9	21
BBX	3
BCAM	12
BCAN	18
BCAP29	6
BCAP31	27
BCAR1	64
BCAR3	29
BCAS1	1
BCAS2	160
BCAS3	29
BCAS4	3
BCAT1	6
BCAT2	6
BCCIP	21
BCDIN3D	1
BCHE	6
BCKDHA	7
BCKDHB	7
BCKDK	12
BCL-2	14
BCL10	54
BCL11A	40
BCL11B	13
BCL2	66
BCL2A1	41
BCL2L1	59
BCL2L10	38
BCL2L11	40
BCL2L12	7
BCL2L13	30
BCL2L14	8
BCL2L15	8
BCL2L2	40
BCL2L2-PABPN1	5
BCL3	53
BCL6	53
BCL6B	26
BCL7A	8
BCL7B	7
BCL7C	2
BCL9	32
BCL9L	17
BCLAF1	49
BCOR	27
BCORL1	3
BCR	58
BCR/ABL	9
BCS1L	2
BDH1	1
BDH2	1
BDKRB1	38
BDKRB2	42
BDNF	58
BDP1	32
BECN1	56
BECN2	24
BEGAIN	38
BEND2	10
BEND3	15
BEND5	20
BEND7	38
BEST1	5
BEST2	14
BEST3	1
BET1	62
BET1L	50
BEX1	29
BEX2	43
BEX3	27
BEX4	1
BEX5	14
BFAR	13
BFSP1	11
BFSP2	34
BGLAP	9
BGN	22
BHLHA15	11
BHLHA9	13
BHLHB9	42
BHLHE23	1
BHLHE40	49
BHLHE41	20
BHMT	2
BHMT2	1
BICD1	30
BICD2	34
BICDL1	1
BICDL2	5
BICRA	8
BICRAL	23
BID	44
BIK	31
BIN1	66
BIN2	10
BIN3	19
BIRC2	69
BIRC3	69
BIRC5	96
BIRC6	23
BIRC7	32
BIRC8	19
BIVM	8
BLCAP	15
BLID	10
BLK	78
BLM	47
BLMH	17
BLNK	85
BLOC1S1	19
BLOC1S2	26
BLOC1S3	10
BLOC1S4	10
BLOC1S5	14
BLOC1S6	34
BLR1	1
BLVRA	2
BLVRB	3
BLZF1	47
BMERB1	3
BMF	23
BMI1	52
BMP1	22
BMP10	31
BMP15	16
BMP2	34
BMP2K	1
BMP3	18
BMP4	34
BMP5	21
BMP6	23
BMP7	39
BMP8A	22
BMP8B	23
BMPER	3
BMPR1A	40
BMPR1B	45
BMPR2	43
BMS1	62
BMT2	48
BMX	28
BNC1	6
BNC2	3
BNIP1	47
BNIP2	30
BNIP3	35
BNIP3L	30
BNIP5	4
BNIPL	9
BOC	25
BOD1	2
BOD1L1	1
BOD1L2	5
BOK	40
BOLA1	8
BOLA2	22
BOLA2-SMG1P6	2
BOLA2B	22
BOLA3	6
BOLL	23
BOP1	54
BORA	81
BORCS5	4
BORCS6	33
BORCS8	5
BORCS8-MEF2B	7
BPGAP1	19
BPGF-1	1
BPGM	15
BPHL	1
BPI	3
BPIFA1	31
BPIFA2	2
BPIFB2	2
BPIFB3	3
BPTF	35
BPY2	2
BPY2B	1
BPY2C	2
BRAF	54
BRAP	30
BRAT1	13
BRCA1	72
BRCA2	48
BRCC3	35
BRD1	18
BRD2	39
BRD3	19
BRD4	47
BRD7	39
BRD8	32
BRD9	14
BRDT	6
BRE	1
BRF1	30
BRF2	29
BRI3	3
BRICD5	25
BRINP1	4
