gene	bridging
CRIP3	2.304847954261152e-06
CREB5	1.320092032473076e-06
MRRF	1.1184205417803662e-06
TUBA3E	6.127989898585886e-07
MMP14	1.6793937674202968e-06
C9orf116	0.0
SAP30BP	1.341111587420716e-06
TTLL10	3.5014377150593857e-06
HIPK1	1.13804323669217e-06
SLC25A46	1.6638543541785572e-06
MYOZ3	8.864953123421926e-07
SLU7	4.376590293379763e-07
PATL1	1.9190926796210897e-06
CNNM3	1.8518077565920474e-06
SHE	5.688421735863272e-06
MRM3	1.909325398203109e-06
FADS6	4.98100515641852e-06
FAM222B	6.294791229802734e-07
MSRB3	2.2723202109806186e-06
TSGA10IP	1.2821675542249307e-06
MYPOP	2.33162490687349e-06
WDR25	1.4467848854682853e-06
ODF3B	3.3512571839553356e-06
THAP7	4.234369903232081e-06
KRTAP12-1	1.0228030356063382e-06
ASCL4	2.382607535016559e-06
ZNF512B	1.3259286338266333e-06
ZNF587	1.5913520098925544e-06
TMSB4X	3.492050502805779e-06
KRTAP12-2	6.500523943075365e-07
DCDC2B	1.491782880410872e-06
TRIM27	7.757596714221185e-07
E2F8	1.248880483290511e-05
MYBPHL	4.897317878720413e-06
VWC2L	1.601095676755072e-06
C9J3D2	1.5574088950469992e-06
P4HA2	3.037943679051944e-06
TRAF3IP2	6.251115834344617e-06
RAD21	6.664928337449775e-07
MPZL1	5.292203422871637e-06
AMBP	1.1115625959551963e-06
CSF1	3.0055430953076665e-06
SRGN	3.8843122972736105e-06
FOSL2	1.228198406048768e-06
GATA1	1.1288790545802063e-06
LMO2	1.0456802496879697e-06
ZFP36	3.301073975822164e-06
PTPN6	5.621562739594678e-07
CORO1A	2.0466119956029473e-06
UBE2I	6.812753616399354e-07
TLE5	8.811543976700386e-07
TRO	3.846237527882412e-06
RAB40B	1.2536324967351343e-06
HYAL2	1.8430585470224375e-06
NPRL3	5.311014554356492e-07
PPIG	1.1776511209943655e-06
ADAM15	2.320361576518864e-06
BAAT	1.2278676393382935e-06
NFKBIB	7.846393700802075e-07
C9ORF116	0.0
MTUS2	4.399116814151776e-07
EPHA10	6.849571704486056e-07
Q5T6B4	7.890203480376328e-07
EFCAB12	0.0
EPM2AIP1	1.436139785435326e-06
UBE2Q1	1.7032929647009646e-06
ANKHD1	3.6546006000761654e-06
CCDC36	1.6661872661186276e-06
LNX2	1.4761707832468237e-06
SLC44A3	8.20326465806803e-06
FAM71C	2.8828725990429714e-06
TYMSOS	3.247337369557507e-06
RHEBL1	4.123052075649713e-06
KTI12	8.582594158119713e-07
TMX3	0.0
FBXL18	1.3700296310858807e-06
FOXN4	6.853028576354719e-06
PLEKHG4B	2.5369059579133994e-06
C16ORF35	2.405185772040885e-06
Q9H8J7	4.3275435102226605e-06
PLEKHF2	8.065775941634853e-07
LATS2	1.0711411870818319e-06
TMEM14B	6.883557759411333e-07
ZNRD1	1.1999581249619686e-06
IKZF3	1.8842926731573051e-06
TGFBR1	6.485823784871776e-07
CD81	2.489064942435331e-06
GAPDH	1.6617184023662737e-06
ENO1	1.6554368362689373e-06
TNFRSF1A	1.1934504795626922e-06
EEF1A1	1.0336561726928151e-06
FTL	3.4403794842740866e-06
TIMP1	4.648817829439925e-06
ANXA2	2.0648484563737013e-06
FUBP1	1.538141816953376e-06
SERPINF1	5.525929867550771e-06
FBN1	1.4627237773479325e-06
CLIC1	2.3324713465118545e-06
NOTCH2	6.380623957983141e-07
ECE1	6.366353888949381e-06
OLFM3	1.154460643971907e-05
ACTA2	6.155612499751779e-07
A2M	1.3795348554411307e-06
HAGH	2.71931333058154e-06
GGTLC1	1.548300842198134e-05
LGALS3	2.32061534725577e-06
OLFML3	2.9776722778777773e-06
PKLR	1.3460398092419266e-06
RFC1	5.778265962565845e-07
IGLL1	9.558309722316221e-07
MAEA	1.90580939606723e-06
C1QB	4.048391074320955e-07
TKT	1.3169974145409965e-06
CAP1	2.126658098954924e-06
ALDOA	2.49392650735458e-06
MYL2	7.688007688421042e-07
SGTA	7.640627874296637e-07
USF1	8.337945036491168e-07
USF2	8.62527082811436e-07
ERBB3	7.854076447492233e-07
NFASC	1.7400464146268487e-06
NRCAM	2.524721843272785e-06
FZD10	1.3967334374175338e-06
FZD7	2.476803761864043e-06
SPARC	1.5684800316638064e-06
SFRP1	1.5171623589142125e-06
FRZB	7.450468406553717e-07
GLDN	0.0
ETS2	1.3101001219595493e-06
CHRNA3	1.70605585351354e-06
CHRNB4	6.397545104865137e-06
KRT31	5.666948980465921e-07
MDFI	3.8839429493292353e-07
KRTAP10-8	3.844340913995452e-07
SNX1	2.6444354028871454e-06
KRT34	6.424294589124307e-07
KRTAP1-1	4.3306471795275367e-07
KRTAP12-3	3.513131435949922e-07
KRTAP1-3	4.3992772015586575e-07
KRTAP5-9	5.788862277154719e-07
KRTAP9-3	4.727419035722342e-07
KRTAP10-9	3.969300018539962e-07
NOTCH2NLA	4.2794557739520213e-07
NBPF19	3.4789704902688835e-07
KRTAP10-7	4.1821188084471015e-07
KRTAP10-3	4.561962949846058e-07
CHRNB1	3.1434875596333925e-06
MUSK	2.0324122447754842e-06
GRB2	3.9357044772115827e-07
ATF6B	9.186970524905922e-07
GABRB2	6.316498769650576e-07
SLC12A4	1.159098873197185e-06
PPP1R9A	6.567406494249066e-07
PRKAR1B	1.9326761590280285e-06
PPP1R2	1.187670347591608e-06
TGOLN2	1.0176363222618895e-06
PPP1R9B	1.250323863849668e-06
PPP1CA	5.267884697574289e-07
RPS6KB1	1.7229419610183507e-06
RAC1	4.745556122916134e-07
RAC3	4.1221803433723466e-07
ARHGEF2	9.844177082138147e-07
SHANK1	1.085270029179896e-06
SHANK2	1.083534470856522e-06
SHANK3	1.2292352412568653e-06
LGALS13	1.7572000662005322e-06
DSTN	1.0641193776945427e-06
CYBB	1.7922214081263353e-06
PFN2	1.5746800449125668e-06
CFL1	1.5979515461376399e-06
CFL2	1.1347305452880326e-06
EIF6	1.1631034825945655e-06
SH3GL2	7.545620608448769e-07
PRSS23	2.3873984077306265e-06
NCF1	1.4913996483964995e-06
WASF1	1.2665494654986833e-06
SUMO4	1.2276144510368503e-06
PTPRO	1.2330062730715763e-06
ST3GAL3	3.106462533874561e-06
NDRG1	2.3112834423962963e-06
DNASE1	2.7092087969019644e-07
ANXA5	2.651848703651151e-06
FPR1	8.881095041363433e-07
GSN	1.8581288099228948e-06
LSP1	1.3276122820251868e-06
VIL1	2.982195241694144e-06
BCAP31	2.152264366229367e-06
TMSB4Y	1.2958365049416287e-05
MAP1A	3.3998609426776952e-06
NR3C2	1.4450084638160587e-06
PLEC1	1.731554604017224e-06
DYNLL1	6.786323102421606e-07
PLD1	2.2258465736182e-06
FHOD1	2.186739144403141e-06
MYO1A	0.0
ATF7IP	1.1091856247699683e-06
CAP2	2.4096053089340325e-06
SCIN	2.971392517027869e-07
CAPZA3	3.036043483257129e-07
NTAQ1	6.520258784954313e-07
CDC37	6.250471640104841e-07
ITGB3BP	1.2714427327473126e-06
MAPK6	7.317310980175286e-07
DISC1	8.398544536590911e-07
RPS6KA5	2.2959500636385785e-06
EHHADH	1.9864720388188864e-06
APOE	1.1918097424095664e-06
CCDC22	5.210326553614585e-07
Q5T4W8	1.85368867431239e-06
TNIK	1.155255193010727e-06
WDYHV1	1.1320521009258689e-06
GIT2	1.5171191274830518e-06
PPP1CC	6.779164716370038e-07
PS1TP5BP1	5.877851283959342e-07
CDC42	5.896653587823494e-07
MMP1	1.1139652708001504e-06
MMP13	1.959563613539974e-06
MMP2	1.0377110949178803e-06
RAC2	5.354956827616981e-07
RHOA	6.75832183544032e-07
RHOC	2.049175854564209e-07
RHOG	3.4327742592291743e-07
RHOJ	4.940626019035159e-07
RHOQ	4.863579114021078e-07
CASP3	1.0073634026079006e-06
CASP6	1.352731480530867e-06
CASP7	1.1681775889478827e-06
EIF4A1	1.1066195463610733e-06
ACTR2	5.490706459734322e-07
ACTR3	6.4697752924004e-07
AP2A1	8.088826739620631e-07
AP2A2	6.302364255112563e-07
ARPC1A	5.572280126401636e-07
ARPC2	4.485837901107254e-07
ARPC3	6.363382822841519e-07
ARPC4	4.959991003874173e-07
ARPC5	4.726189529304873e-07
CLTA	9.265274173942139e-07
CLTB	1.0465782073872955e-06
CTTN	8.565349275667483e-07
HIP1	1.0398052046504379e-06
IL7R	8.120895788168299e-07
ITSN1	7.598358914880598e-07
UBB	4.993737205741861e-07
WASL	9.530110207433765e-07
EZR	1.4356997438391904e-06
RDX	1.3420872937274541e-06
ANK2	1.213381094456046e-06
EED	9.20684983447863e-07
IQGAP1	1.2714559996529514e-06
MSN	1.4441736130483581e-06
ACTL6A	6.517458428645336e-07
ACTL6B	1.7755704075342676e-06
ACTR3B	9.241931871998984e-07
ACTR3C	2.0609190725108795e-08
AFDN	9.018080447062629e-07
ANK3	1.2302963662588307e-06
ARHGAP10	7.384972085606613e-07
ARHGAP35	1.2129314654976913e-06
ARID1A	4.1461342585873133e-07
ARID1B	1.338039871239653e-06
ARID2	2.758380125740934e-07
ARPC1B	3.8666546227337926e-07
ARPC5L	1.244836085471802e-06
BAIAP2	2.121906352645632e-06
BRD7	1.4023452480039426e-06
BRK1	8.555700864627658e-07
CAPZB	9.209632279274718e-07
CDH1	9.30887516333855e-07
CDH3	6.543297410676695e-07
CHN1	2.324207719592939e-06
CHN2	1.305107793322772e-06
CTNNA1	7.55870169831798e-07
CTNNA2	4.884639356367811e-07
CTNNA3	1.249212306755648e-06
CYFIP1	1.8199339711717023e-06
CYFIP2	1.0742256985531731e-06
DIAPH1	1.1805665810426258e-06
DKFZP686A1195	6.723585256287832e-07
DKFZP686D0714	1.7111583086076436e-06
DPF1	5.511710494547173e-07
DPF3	1.4888122604215163e-06
ENAH	2.5761611475890722e-06
EVL	2.4948821441187926e-06
FMNL1	3.5566665208185886e-06
FMNL2	2.5538420423903346e-06
FMNL3	5.0426677037617734e-06
GRLF1	1.2567245682573213e-06
HCLS1	1.399168216134539e-06
HTT	7.444308641525468e-07
IFT57	1.5050633879863022e-06
IQGAP3	8.162948933357407e-07
ITGA1	3.10297516091071e-07
ITGA10	1.5143690768890644e-07
ITGA11	1.49955640247044e-07
ITGA2	6.618649067024733e-07
ITGA2B	3.858502527710328e-07
ITGA4	5.181743552595369e-07
ITGA5	5.528174406419241e-07
ITGA6	6.10542406524692e-07
ITGA9	3.986138324905186e-07
ITGAD	1.587843414539417e-07
ITGAE	2.561094981112636e-07
ITGAL	5.032659425451664e-07
ITGAM	1.6390676253536588e-06
ITGAV	5.314843028365232e-07
ITGAX	6.9060589778563e-07
KDM3A	1.4609724001146765e-06
KDM3B	1.9488283760868208e-06
LCP1	1.5474757620383274e-06
LMNA	1.478996682564795e-06
METAP1	7.5228699613144425e-06
MLLT4	1.0657173742496136e-06
MMP12	1.2830665916924643e-06
MMP15	1.3144852189646672e-06
MMP16	1.4619936739758063e-06
MMP19	1.5880965969057245e-06
MMP20	6.233617298398425e-07
MMP21	3.9239586199705275e-08
MMP23B	5.774373655442381e-07
MMP24	1.2990265506620926e-06
MMP25	2.5172256788133257e-06
MMP27	3.9239586199705275e-08
MMP28	4.94155240250832e-06
MMP7	8.955297185148445e-07
MMP8	1.1183790157096384e-06
MMP9	1.2601732136122578e-06
MRTFA	1.0887043649588714e-06
MYH1	9.104444254481191e-07
MYH10	9.436635858467083e-07
MYH11	4.861072873804371e-07
MYH13	8.401151838061109e-07
MYH14	1.7475453640515225e-06
MYH15	2.5762616884985344e-07
MYH2	7.286288838051615e-07
MYH3	7.423545527875747e-07
MYH4	6.467057380952138e-07
MYH6	3.673155955950812e-07
MYH7	1.2601230194383272e-06
MYH7B	3.2850327299750187e-06
MYH8	1.9172672550052666e-07
MYH9	1.0789408312775756e-06
MYL10	2.565991175969216e-07
MYL12A	4.2087157489793457e-07
MYL12B	5.594565811622565e-07
MYL5	1.6714441712943265e-07
MYL6	1.1664543195559551e-06
MYL6B	1.1533739366801303e-06
MYL7	9.050280520964034e-07
MYL9	4.280181172056713e-07
MYLPF	5.767499949287259e-07
MYO10	1.5287772967533417e-06
MYO1B	5.974070392418848e-06
MYO1C	1.3644102121091256e-06
MYO1D	7.29392151433038e-07
MYO1E	3.4961777031941733e-07
MYO1F	4.684663777134673e-06
MYO1G	4.5829634086712847e-07
MYO1H	0.0
MYO5A	1.5885347003533284e-06
MYO5B	2.859079041412238e-06
MYO5C	3.1898926710693203e-06
MYO6	1.8856788103083537e-06
NCK1	2.9354964493238476e-07
NCKAP1	1.1414216685416382e-06
NCKAP1L	7.84637455433439e-07
NCKIPSD	1.3676445822422622e-06
NECTIN1	1.2786874078608422e-06
PBRM1	1.175475537658997e-06
PFN1	1.4304376443895118e-06
PFN3	1.0166310059072989e-07
PFN4	2.848824575246935e-07
PHF10	2.1916026985713404e-06
PIP5K1C	8.615079568859587e-07
PPARG	6.710745680980131e-07
PRKCA	6.834469849937051e-07
PRKCE	8.684586522224881e-07
PRKN	1.5476616044031967e-06
RACK1	1.8003617431269677e-06
RNF2	8.384843065779129e-07
SET	1.9003421824980064e-06
SETSIP	9.20461546918664e-07
SMARCA2	8.869001646764618e-07
SMARCA4	5.695215923764171e-07
SMARCB1	1.1379438987562146e-06
SMARCC1	1.175143368360129e-06
SMARCC2	1.7903532006409902e-06
SMARCD1	1.0595468828609154e-06
SMARCD2	1.6490905748992563e-06
SMARCD3	3.6906449590771417e-07
SMARCE1	1.5164487505056836e-06
SRGAP2	1.4683630789984696e-06
STK3	1.3555625760709195e-06
STX1A	1.026365900007857e-06
STX4	1.2903432666714131e-06
SYDE1	1.002055397971445e-06
SYDE2	8.536736775626821e-07
SYNPO	3.345636310464444e-06
THRA	1.2354829959741693e-06
TJP1	1.036678394607881e-06
TNFAIP8	2.465085747985327e-06
TRADD	5.528651015215835e-07
TWF1	2.175586063705228e-06
TWF2	2.6787031678840754e-06
WAS	1.0382048255003992e-06
WASF2	1.036479910390471e-06
WASF3	9.71983080448548e-07
WDR1	2.4518130885317296e-06
WHAMM	1.1012853055900077e-06
WIPF1	1.1147252795186008e-06
WIPF2	3.1020103753549442e-06
WIPF3	1.6531924614435805e-06
YWHAZ	6.926604475424659e-07
ZNF703	1.4745992025247764e-06
ZYX	1.5248459245831595e-06
PRKAR1A	2.0509738907420016e-06
WRN	6.335020790870349e-07
AKAP1	1.5113405102492798e-05
VEZF1	2.383414235769104e-06
PIK3R3	7.724950972042461e-07
GPKOW	8.792061701829965e-07
LENG1	1.3132077255465295e-06
ANKS1A	1.3323296126293277e-06
FAM161A	9.407743480025084e-07
MBD3	1.2214810798284187e-06
L3MBTL2	1.1783737041268488e-06
CCDC103	4.86221757414879e-06
INPP5J	2.1099166243136687e-06
FAM187A	1.8005319925462934e-06
PRKACA	3.5524971213642325e-07
AKAP7	2.0667643431927747e-06
AKAP14	5.609173859256843e-06
CCDC187	1.4973497645666093e-06
BAG3	1.2037481559543424e-06
PRKAA2	1.2584688096005717e-06
GAS2L2	1.3804234014995112e-06
ZNF177	4.160364904589457e-06
ZNF559-ZNF177	1.915052651849866e-06
TEAD4	1.1378790017326531e-06
SH2D4A	1.3716405776956087e-06
SMG9	1.4129224996102174e-06
CEP19	1.7674314281152976e-06
DACH1	1.2809883486623965e-06
SYTL4	2.315267304673199e-06
DTNB	1.3582017612703633e-06
PRPF18	1.2125610240239519e-06
SNW1	9.430927657187418e-07
EEF2KMT	1.5132640671505167e-06
RUNX1T1	1.4433538177972821e-06
GUCA1A	8.086270490655577e-06
TASOR2	1.779960159920603e-06
POLE4	3.7996077171641476e-07
STK16	1.1489227109265995e-06
CDKN1A	1.0889660513762576e-06
GNL3L	4.949073630370065e-06
CAMSAP1	1.7351516490407533e-06
COX5B	1.8530820793570868e-06
GOLGA1	1.320870770064878e-06
FCHSD2	1.6926128524728711e-06
UACA	5.78226373567387e-06
